"","X","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","Scientific","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","scientificName","assessmentId","internalTaxonId","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","authority","redlistCategory","populationTrend","scopes"
"235",1760,19017,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Cuculus optatus","Oriental Cuckoo",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_4","A","Carolina",0,0,20,20,40,20,0,0,"Ref_4",1,"Jessica",0,99,"PrimScale",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",1762,19031,"Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",75,"BL3","Caprimulgus ruwenzorii","Ruwenzori Nightjar",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,40,10,10,40,0,"Ref_5",1,"Other",1,48.93,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",1763,19032,"Nonpasseriformes","Caprimulgiformes","Caprimulgidae","Nightjars",75,"BL3","Caprimulgus nigriscapularis","Black-shouldered Nightjar",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","B","Hamish",0,0,0,0,70,10,20,0,"Ref_5",1,"Christian",1,49,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",1764,19503,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"IOC27","Zimmerius flavidifrons","Loja Tyrannulet",50,0,0,0,0,0,50,0,0,0,"Omnivore","Ref_9","A","Carolina",0,0,0,0,0,100,0,0,"Ref_9",1,"Jessica",0,10.5,"PrimScale",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",1766,19536,"Passeriformes","Passeriformes","Thamnophilidae","Antbirds",106,"BL3","Epinecrophylla fjeldsaai","Brown-backed Antwren",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_8","B","Jennifer",0,0,0,50,50,0,0,0,"Ref_8",1,"Jessica",0,9.8,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",1770,19564,"Passeriformes","Passeriformes","Corvidae","Crows and jays",147,"IOC27","Corvus minutus","Cuban Palm Crow",40,0,20,0,0,0,40,0,0,0,"Omnivore","Ref_14","A","Carolina",0,0,50,0,20,30,0,0,"Ref_30",1,"Other",0,287.82,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",1771,19565,"Passeriformes","Passeriformes","Turdidae","Thrushes",178,"IOC27","Turdus daguae","Dagua Thrush",60,0,0,0,0,0,40,0,0,0,"Invertebrate","Ref_10","A","Carolina",0,0,80,0,20,0,0,0,"Ref_10",1,"Jessica",0,58.5,"PrimScale",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",1772,19580,"Passeriformes","Passeriformes","Parulidae","New World warblers",171,"IOC27","Dendroica aestiva","American Yellow Warbler",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_15","A","Jennifer",0,0,20,20,30,20,10,0,"Genus",0,"Walter",0,10.8,"PrimScale",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",1778,19589,"Passeriformes","Passeriformes","Thraupidae","Tanagers",193,"IOC27","Piranga lutea","Tooth-billed Tanager",70,0,0,0,0,0,30,0,0,0,"Invertebrate","Other","D1","Jennifer",0,0,0,10,30,60,0,0,"Ref_21",1,"Christian",0,34.6,"PrimScale",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",1780,19614,"Passeriformes","Passeriformes","Estrildidae","Waxbills, grass finches, munias and allies",169,"IOC27","Ortygospiza fuscocrissa","African Quail-Finch",20,0,0,0,0,0,0,0,60,20,"PlantSeed","Ref_15","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_27",1,"Jessica",0,10.99,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",1781,19615,"Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",188,"BL3","Serinus whytii","Yellow-browed Seedeater",30,0,0,0,0,0,30,0,40,0,"Omnivore","Ref_15","A","Jennifer",0,0,50,50,0,0,0,0,"Ref_27",1,"Jessica",0,15.37,"GenAvg",0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",1782,19618,"Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"IOC27","Emberiza vincenti","Vincent's Bunting",30,0,0,0,0,0,0,0,60,10,"PlantSeed","Ref_15","D1","Jennifer",0,0,0,20,60,20,0,0,"Ref_42",1,"Jessica",0,22.4,"PrimScale",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",1783,19629,"Passeriformes","Passeriformes","Polioptilidae","Gnatcatchers",172,"BL3","Polioptila clementsi","Iquitos Gnatcatcher",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Other","B","Cody",0,0,0,0,0,100,0,0,"Whitney and Alonso 2005",1,"Cody",0,5.6,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",1784,19635,"Passeriformes","Passeriformes","Vangidae","Vangas",131,"BL3","Hypositta perdita","Bluntschli's Vanga",70,0,0,0,30,0,0,0,0,0,"Invertebrate","Other","D1","Cody",0,0,0,30,70,0,0,0,"Other",0,"Cody",0,14.1,"GenAvg",0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",1785,19639,"Passeriformes","Passeriformes","Cardinalidae","Grosbeaks, saltators and allies",194,"BL3","Amaurospiza carrizalensis","Carrizal Seedeater",30,0,0,0,0,0,0,0,30,40,"Omnivore","Other","D1","Cody",0,0,50,50,0,0,0,0,"Other",0,"Cody",0,13.3,"PrimScale",1,"Average of 3 values; Lentino and Restall 2003","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",1791,19807,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Lophura hatinhensis","Vietnamese Pheasant",40,0,0,0,0,0,30,0,20,10,"Omnivore","Ref_2","D1","Jennifer",0,0,100,0,0,0,0,0,"Genus",0,"Walter",0,1090.96,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",1792,19808,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Lophura hoogerwerfi","Aceh Pheasant",40,0,0,0,0,0,30,0,20,10,"Omnivore","Ref_2","D1","Jennifer",0,0,100,0,0,0,0,0,"Genus",0,"Walter",0,1080.53,"GenAvg",0,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",1799,19834,"Nonpasseriformes","Piciformes","Ramphastidae","Toucans and barbets",93,"BL3","Ramphastos swainsonii","Chestnut-mandibled Toucan",20,10,10,0,0,0,60,0,0,0,"FruiNect","Ref_7","A","Jennifer",0,0,0,10,30,60,0,0,"Ref_7",1,"Other",0,651.68,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",1800,19837,"Nonpasseriformes","Bucerotiformes","Bucerotidae","Hornbills",91,"BL3","Penelopides samarensis","Samar Hornbill",20,0,20,0,0,0,40,0,20,0,"Omnivore","Ref_6","A","Hamish",0,0,10,40,50,0,0,0,"Ref_6",1,"Other",0,485.12,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",1801,19842,"Nonpasseriformes","Trogoniformes","Trogonidae","Trogons",81,"BL3","Trogon aurantiiventris","Orange-bellied Trogon",60,0,0,0,0,0,40,0,0,0,"Invertebrate","Ref_6","A","Hamish",0,0,0,30,70,0,0,0,"Ref_6",1,"Christian",0,65.43,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",1802,19843,"Nonpasseriformes","Trogoniformes","Trogonidae","Trogons",81,"BL3","Trogon caligatus","Gartered Trogon",20,0,0,0,0,0,80,0,0,0,"FruiNect","Ref_6","A","Hamish",0,0,0,70,20,10,0,0,"Ref_6",1,"Christian",0,46.5,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",1803,19845,"Nonpasseriformes","Coraciiformes","Alcedinidae","Kingfishers",85,"BL3","Ceyx rufidorsa","Rufous-backed Kingfisher",80,0,10,10,0,0,0,0,0,0,"Invertebrate","Ref_6","A","Hamish",0,30,40,30,0,0,0,0,"Ref_6",1,"Christian",0,17.79,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",1804,19850,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Cacomantis sepulcralis","Rusty-breasted Cuckoo",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_4","A","Carolina",0,0,0,40,40,20,0,0,"Ref_4",1,"Jessica",0,35.75,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",1805,19851,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Chrysococcyx russatus","Gould's Bronze-cuckoo",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_4","A","Carolina",0,0,0,0,20,80,0,0,"Ref_4",1,"Jessica",0,18.6,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",1807,19853,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Eudynamys melanorhynchus","Black-billed Koel",10,0,0,0,0,0,80,10,0,0,"FruiNect","Ref_4","A","Carolina",0,0,0,0,20,80,0,0,"Ref_4",1,"Jessica",0,194.92,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",1808,19855,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Neomorphus squamiger","Scaled Ground-cuckoo",50,0,30,0,0,10,0,0,10,0,"Omnivore","Ref_4","A","Carolina",0,0,100,0,0,0,0,0,"Ref_4",1,"Jessica",0,355.03,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",1809,19856,"Nonpasseriformes","Psittaciformes","Psittacidae","Parrots",68,"BL3","Cyanoramphus saisseti","New Caledonian Parakeet",10,0,0,0,0,0,30,0,30,30,"PlantSeed","Ref_4","A","Carolina",0,0,20,40,40,0,0,0,"Ref_4",1,"Jessica",0,90.22,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",1810,19857,"Nonpasseriformes","Psittaciformes","Psittacidae","Parrots",68,"BL3","Cyanoramphus cookii","Norfolk Island Parakeet",10,0,0,0,0,0,30,0,30,30,"PlantSeed","Ref_4","A","Carolina",0,0,20,40,40,0,0,0,"Ref_4",1,"Jessica",0,90.22,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",1811,19863,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","Collocalia rogersi","Indochinese Swiftlet",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,20,0,0,80,0,"Ref_5",1,"Other",0,13.42,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",1813,19865,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","Collocalia palawanensis","Palawan Swiftlet",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,0,30,0,70,0,"Ref_5",1,"Christian",0,10.7,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",1814,19866,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","Collocalia amelis","Grey Swiftlet",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,0,30,0,70,0,"Ref_5",1,"Christian",0,10.7,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",1815,19867,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","Collocalia ocista","Marquesan Swiftlet",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","D1","Hamish",0,0,0,0,0,20,80,0,"Ref_5",1,"Christian",0,13.35,"GenAvg",0,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",1816,19868,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","Collocalia germani","German's Swiftlet",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,0,0,0,100,0,"Ref_5",1,"Christian",0,10.7,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",1817,19870,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","Chaetura viridipennis","Amazonian Swift",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","D1","Hamish",0,0,0,20,0,0,80,0,"Ref_5",1,"Christian",0,23.83,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",1818,19874,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","Apus toulsoni","Loanda Swift",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,10,10,0,80,0,"Ref_5",1,"Christian",0,27.45,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",1819,19876,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Campylopterus excellens","Long-tailed Sabrewing",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,40,60,0,0,0,"Ref_5",1,"Christian",0,6,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",1820,19882,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Chlorostilbon melanorhynchus","Western Emerald",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,40,50,10,0,0,"Ref_5",1,"Other",0,2.61,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",1822,19891,"Nonpasseriformes","Caprimulgiformes","Podargidae","Frogmouths",72,"BL3","Batrachostomus affinis","Blyth's Frogmouth",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,10,10,70,10,0,0,"Ref_5",1,"Christian",1,46.34,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",1824,19901,"Nonpasseriformes","Charadriiformes","Recurvirostridae","Stilts and avocets",53,"BL3","Himantopus leucocephalus","White-headed Stilt",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_3","A","Carolina",0,100,0,0,0,0,0,0,"Ref_3",1,"Jessica",0,176.82,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",1825,19902,"Nonpasseriformes","Charadriiformes","Recurvirostridae","Stilts and avocets",53,"BL3","Himantopus mexicanus","Black-necked Stilt",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_3","A","Carolina",0,100,0,0,0,0,0,0,"Ref_3",1,"Jessica",0,176.82,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",1826,19904,"Nonpasseriformes","Charadriiformes","Stercorariidae","Skuas and jaegers",62,"BL3","Catharacta lonnbergi","Brown Skua",0,60,0,0,0,40,0,0,0,0,"VertFishScav","Ref_3","A","Carolina",0,30,70,0,0,0,0,1,"Ref_3",1,"Jessica",0,1650,"PrimScale",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",1828,19916,"Nonpasseriformes","Falconiformes","Falconidae","Falcons and caracaras",35,"BL3","Falco pelegrinoides","Barbary Falcon",10,80,10,0,0,0,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,20,20,20,20,20,0,"Ref_2",1,"Other",0,759.95,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",1829,19921,"Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Butorides virescens","Green Heron",30,0,30,40,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",0,80,20,0,0,0,0,0,"Ref_1",1,"Jessica",0,201.5,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",1831,19949,"Passeriformes","Passeriformes","Pipridae","Manakins",103,"BL3","Corapipo altera","White-ruffed Manakin",10,0,0,0,0,0,90,0,0,0,"FruiNect","Ref_9","B","Cody",0,0,0,50,50,0,0,0,"Other",0,"Cody",0,11.8,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",1837,19973,"Passeriformes","Passeriformes","Laniidae","Shrikes",140,"BL3","Lanius marwitzi","Uhehe Fiscal",70,10,10,0,0,0,0,0,10,0,"Invertebrate","Ref_13","C","Cody",0,0,80,10,10,0,0,0,"Ref_13",0,"Cody",0,36.44,"Other",1,"Copied values Lanius collaris","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",1839,19975,"Passeriformes","Passeriformes","Corvidae","Crows and jays",147,"BL3","Corvus levaillantii","Jungle Crow",20,10,10,0,0,30,20,0,10,0,"Omnivore","Ref_14","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_30",1,"Walter; Christian",0,513.14,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",1840,19978,"Passeriformes","Passeriformes","Malaconotidae","Helmetshrikes, bushshrikes and puffbacks",129,"BL3","Telophorus quadricolor","Four-coloured Bush-shrike",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_14","A","Cody",0,0,50,50,0,0,0,0,"Ref_14",0,"Cody",0,37.1,"Other",1,"Copied from Telophorus viridis","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",1846,19991,"Passeriformes","Passeriformes","Turdidae","Thrushes",178,"BL3","Zoothera tanganjicae","Kivu Ground-thrush",50,0,0,0,0,0,30,0,20,0,"Omnivore","Ref_10","A","Cody",0,0,80,10,10,0,0,0,"Ref_10",0,"Cody",0,51.1,"Other",1,"Copied from Zoothera piaggiae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",1847,19992,"Passeriformes","Passeriformes","Turdidae","Thrushes",178,"BL3","Zoothera imbricata","Sri Lanka Scaly Thrush",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_10","A","Carolina",0,0,60,40,0,0,0,0,"Ref_10",1,"Jessica",0,134.13,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",1850,19999,"Passeriformes","Passeriformes","Sturnidae","Starlings",177,"BL3","Lamprotornis elisabeth","Southern Blue-eared Glossy-starling",30,0,0,0,0,0,40,30,0,0,"FruiNect","Ref_14","A","Carolina",0,0,50,50,0,0,0,0,"Ref_36",1,"Jessica",0,73.1,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",1851,20003,"Passeriformes","Passeriformes","Remizidae","Penduline-tits",155,"BL3","Remiz macronyx","Black-headed Penduline-tit",60,0,0,0,0,0,0,0,40,0,"Invertebrate","Ref_13","A","Cody",0,0,30,40,30,0,0,0,"Ref_13",0,"Cody",0,10.1,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",1853,20006,"Passeriformes","Passeriformes","Pycnonotidae","Bulbuls",160,"BL3","Andropadus nigriceps","Eastern Mountain Greenbul",30,0,0,0,0,0,60,0,0,10,"FruiNect","Ref_10","B","Morgane",0,0,20,20,30,20,10,0,"Ref_10",1,"Morgane",0,32.8,"HBW10",1,"HBW10","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",1854,20008,"Passeriformes","Passeriformes","Cisticolidae","Cisticolas and allies",159,"BL3","Cisticola discolor","Brown-backed Cisticola",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_11","B","Morgane",0,0,0,100,0,0,0,0,"Ref_11",0,"Morgane",0,16,"Other",1,"Copied from Cisticola chubbi","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",1857,20019,"Passeriformes","Passeriformes","Sylviidae","Old World warblers",161,"BL3","Bradypterus montis","Javan Bush-warbler",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_11","B","Morgane",0,0,0,50,50,0,0,0,"Ref_11",0,"Morgane",0,14,"HBW11",1,"HBW11","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",1859,20021,"Passeriformes","Passeriformes","Sylviidae","Old World warblers",161,"BL3","Bradypterus timorensis","Timor Bush-warbler",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_11","D1","Jennifer",0,0,50,50,0,0,0,0,"Ref_11",1,"Jessica",0,11.3,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",1866,20046,"Passeriformes","Passeriformes","Timaliidae","Babblers and parrotbills",163,"BL3","Strophocincla fairbanki","Kerala Laughingthrush",0,0,0,0,0,0,100,0,0,0,"FruiNect","Ref_12","A","Jennifer",0,0,30,20,30,20,0,0,"Genus",0,"Walter",0,45.5,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",1883,20084,"Passeriformes","Passeriformes","Alaudidae","Larks",158,"BL3","Certhilauda barlowi","Barlow's Lark",60,0,0,0,0,0,0,0,40,0,"Invertebrate","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,28.06,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",1885,20088,"Passeriformes","Passeriformes","Estrildidae","Waxbills, grass finches, munias and allies",169,"BL3","Lagonosticta landanae","Pale-billed Firefinch",20,0,0,0,0,0,0,0,80,0,"PlantSeed","Ref_15","B","Morgane",0,0,100,0,0,0,0,0,"Ref_15",0,"Morgane",0,10.1,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",1886,20089,"Passeriformes","Passeriformes","Estrildidae","Waxbills, grass finches, munias and allies",169,"BL3","Lonchura nigriceps","Brown-backed Munia",10,0,0,0,0,0,10,0,60,20,"PlantSeed","Ref_15","A","Jennifer",0,0,50,50,0,0,0,0,"Ref_27",1,"Jessica",0,9.9,"Dunning08",1,"","DataFromSplit","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
